id	title	description	availability	link	image_link	price	brand	condition	identifier_exists
breakfast-albaghdady-plate	Albaghdady Plate (طبق البغدادي)	Our signature breakfast spread. Ground meat kabab, golden potatoes, eggplant tomato stew, and two pieces of handmade kubbah — all on one tray.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	23.99 USD	Al-Baghdady	new	no
breakfast-kahi-qeimar	Kahi & Qeimar (كاهي وقيمر)	Iraq's most beloved sweet breakfast. Layers of flaky golden kahi pastry drizzled with syrup, served with rich clotted cream (qeimar).	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	12.99 USD	Al-Baghdady	new	no
breakfast-baqila	Baqila (باقلاء بالدهن)	Tender fava beans simmered in their own broth, served with eggs, crispy fried onions, and warm bread soaked in the broth. A national Iraqi tradition.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	14.99 USD	Al-Baghdady	new	no
breakfast-kubba	Kubba (كبة)	Four hand-rolled pieces of Iraqi kubba — bulgur shells stuffed with seasoned meat, onions, and herbs, fried until golden and crisp.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	15.99 USD	Al-Baghdady	new	no
breakfast-qeimar-debes	Qeimar & Debes (قيمر ودبس)	Fresh clotted cream and pure date syrup, served with warm samoon. Simple, ancient, unforgettable.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	7.99 USD	Al-Baghdady	new	no
breakfast-chelfry	Chelfry (جلفراي)	Traditional Iraqi morning hash of slow-cooked lamb pieces, golden potatoes, onions, and tomatoes. Bold and warming.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	15.99 USD	Al-Baghdady	new	no
breakfast-omlet	Omlet (مخلمة)	Iraqi-style omelette with ground meat, fresh tomatoes, onions, and eggs cooked together until tender and rich.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	15.99 USD	Al-Baghdady	new	no
breakfast-bastirma	Bastirma (باسترما بالبيض)	Spiced cured beef sausage sizzled with eggs until the edges crisp. Deep, smoky flavor in every bite.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	14.99 USD	Al-Baghdady	new	no
breakfast-lamb-liver	Lamb Liver (معلاك غنم)	Fresh lamb liver sautéed with onions and tomatoes until tender. The way Baghdadi mornings have started for generations.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	15.99 USD	Al-Baghdady	new	no
breakfast-beef-egg	Beef & Egg (لحم وبيض)	Tender beef shawarma topped with a perfectly cooked egg. Savory, satisfying, ready to fuel your whole morning.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	16.99 USD	Al-Baghdady	new	no
breakfast-potato-egg	Potato with Egg (بطاطا مع بيض)	Pan-fried potatoes scrambled with farm-fresh eggs. Simple, comforting, pairs perfectly with hot chai.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	9.99 USD	Al-Baghdady	new	no
breakfast-tomato-egg	Tomato with Egg (طماطم مع بيض)	Ripe tomatoes slow-cooked with eggs into a rich, savory scramble. Light, fresh, a Middle Eastern breakfast staple.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	9.99 USD	Al-Baghdady	new	no
breakfast-fried-kabab	Fried Kabab (كباب عروق)	Hand-formed patties of seasoned ground meat with fresh parsley and onions, pan-fried golden and crisp.	in_stock	https://al-baghdady.com/specialties/breakfast/	https://al-baghdady.com/Images/hero.webp	15.99 USD	Al-Baghdady	new	no
sweets-pistachio-mabrouma	Pistachio Mabrouma	A premium version of our house mabrouma — loaded with fresh-ground pistachios throughout, baked deep gold and finished with syrup.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	25.00 USD	Al-Baghdady	new	no
sweets-birds-nest	Bird's Nest (Osh Al Asfour)	Delicate shredded phyllo nests filled with pistachios and soaked in floral syrup. A beautiful and festive Iraqi sweet.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	21.99 USD	Al-Baghdady	new	no
sweets-burma	Burma (Turkish Style)	Long, cigar-rolled phyllo packed with pistachios and finished with syrup. Crisp, nutty, and one of the lesser-known Iraqi sweets.	in_stock	https://al-baghdady.com/specialties/burma/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	20.00 USD	Al-Baghdady	new	no
sweets-mabrouma-cream	Mabrouma with Cream	Our classic coiled phyllo pastry filled with luscious sweet cream and pistachios, baked until golden.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	20.00 USD	Al-Baghdady	new	no
sweets-pistachio-baklava	Pistachio Baklava	Our most-ordered variety. Generous layers of fresh-ground pistachios between paper-thin phyllo, soaked in just enough syrup.	in_stock	https://al-baghdady.com/specialties/baklava/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	17.99 USD	Al-Baghdady	new	no
sweets-mixed-baklava	Mixed Baklava	Layers of phyllo, walnut, pistachio and honey. A mixed selection of our house baklava varieties.	in_stock	https://al-baghdady.com/specialties/baklava/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	17.99 USD	Al-Baghdady	new	no
sweets-walnut-baklava	Walnut Baklava	A traditional baklava variety made with fresh walnuts. Layers of paper-thin phyllo, walnuts, and our family's signature honey syrup. The recipe we've been making since 1919.	in_stock	https://al-baghdady.com/specialties/baklava/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	15.99 USD	Al-Baghdady	new	no
sweets-kanafa	Kanafa	Sticky shredded phyllo with melted cheese, soaked in rose-water syrup and topped with crushed pistachios.	in_stock	https://al-baghdady.com/specialties/kunafa/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	15.00 USD	Al-Baghdady	new	no
sweets-ladyfingers	Ladyfingers (Znood Al Sit)	Crispy phyllo rolls filled with sweet cream and dipped in syrup.	in_stock	https://al-baghdady.com/specialties/lady-fingers/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	12.00 USD	Al-Baghdady	new	no
sweets-awama	Awama (Luqaimat)	Bite-sized fried dough fritters, crisp on the outside, soft inside, soaked in our family's honey syrup. A celebration favorite at every Iraqi gathering — most often spotted on Eid and wedding trays.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	12.00 USD	Al-Baghdady	new	no
sweets-dehena	Dehena (Iraqi Dessert)	A traditional Iraqi sweet made with date syrup and butter — warm, rich, and deeply comforting. A true taste of Baghdad.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/menu/bakery-sweets.webp	12.00 USD	Al-Baghdady	new	no
bread-samoon-4pc	Iraqi Samoon (4 pc)	Iraq's traditional oval-shaped bread, baked fresh in our stone oven throughout the day.	in_stock	https://al-baghdady.com/specialties/bread/	https://al-baghdady.com/Images/bakery.webp	4.49 USD	Al-Baghdady	new	no
bread-tandoor-6pc	Tandoor Bread (6 pc)	Traditional flatbread baked in our tandoor oven. Soft, chewy, and perfect with any meal.	in_stock	https://al-baghdady.com/specialties/bread/	https://al-baghdady.com/Images/bakery.webp	6.99 USD	Al-Baghdady	new	no
bread-iraqi-3pc	Iraqi Bread (3 pc)	Classic Iraqi-style round bread, baked fresh daily.	in_stock	https://al-baghdady.com/specialties/bread/	https://al-baghdady.com/Images/bakery.webp	3.99 USD	Al-Baghdady	new	no
bread-1pc	Bread (1 pc)	Single piece of freshly baked bread.	in_stock	https://al-baghdady.com/specialties/bread/	https://al-baghdady.com/Images/bakery.webp	1.99 USD	Al-Baghdady	new	no
bread-samoon-1pc	Samoon (1 pc)	Single piece of our signature Iraqi samoon bread.	in_stock	https://al-baghdady.com/specialties/bread/	https://al-baghdady.com/Images/bakery.webp	1.25 USD	Al-Baghdady	new	no
manakish-default	Manakish	Flatbread topped with za'atar, cheese, or meat — Middle Eastern breakfast at its most authentic. A weekend staple in our Richardson bakery.	in_stock	https://al-baghdady.com/specialties/manakish/	https://al-baghdady.com/Images/bakery.webp	3.50 USD	Al-Baghdady	new	no
fatayer-spinach	Fatayer — Spinach	Hand-folded savory pies with spinach filling, baked fresh daily. Soft, golden, perfect with chai.	in_stock	https://al-baghdady.com/specialties/fatayer/	https://al-baghdady.com/Images/bakery.webp	3.50 USD	Al-Baghdady	new	no
fatayer-cheese	Fatayer — Cheese	Hand-folded savory pies with cheese filling, baked fresh daily.	in_stock	https://al-baghdady.com/specialties/fatayer/	https://al-baghdady.com/Images/bakery.webp	3.50 USD	Al-Baghdady	new	no
fatayer-meat	Fatayer — Meat	Hand-folded savory pies with seasoned ground meat, baked fresh daily.	in_stock	https://al-baghdady.com/specialties/fatayer/	https://al-baghdady.com/Images/bakery.webp	3.50 USD	Al-Baghdady	new	no
app-sour-kibbeh	Sour Kibbeh (Bowl)	Kibbeh served in a tangy tamarind-based broth. A beloved Iraqi comfort dish, best eaten with fresh samoon.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/dish-1.webp	9.99 USD	Al-Baghdady	new	no
app-kibbeh	Kibbeh	Fried bulgur shell stuffed with spiced ground meat, onions, and pine nuts. Crispy outside, rich and savory inside.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/dish-1.webp	3.99 USD	Al-Baghdady	new	no
app-chickpea-soup	Chickpea Soup (Leblebi)	Hearty chickpea soup seasoned with cumin and lemon, served with toasted bread. A classic Iraqi street-food staple.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/dish-1.webp	3.99 USD	Al-Baghdady	new	no
app-samosa	Samosa	Hand-folded and pan-fried golden. Choose from seasoned ground meat or vegetable filling — crispy on the outside, savory inside. Perfect as a quick snack, an appetizer, or by the tray for your next gathering.	in_stock	https://al-baghdady.com/specialties/samosa/	https://al-baghdady.com/Images/dish-1.webp	2.75 USD	Al-Baghdady	new	no
app-egg-roll	Egg Roll	Crispy rolled pastry with a savory filling, fried golden and served hot.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/dish-1.webp	1.99 USD	Al-Baghdady	new	no
bev-karak-chai	Karak Chai	Our signature variety. Rich, creamy black tea slowly steeped with cardamom, milk, and a touch of sweetness — the way Iraqi mornings are meant to start.	in_stock	https://al-baghdady.com/specialties/chai/	https://al-baghdady.com/Images/gallery/baklava-pistachio-plate.webp	3.99 USD	Al-Baghdady	new	no
bev-yemeni-coffee	Yemeni Coffee	Aromatic spiced coffee brewed Yemeni-style — warm, fragrant, and deeply satisfying.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/gallery/baklava-pistachio-plate.webp	3.99 USD	Al-Baghdady	new	no
bev-apricot-drink	Apricot Drink (Torshana)	A traditional Iraqi dried-apricot drink — sweet, tangy, and refreshing. A Ramadan and celebration staple.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/gallery/baklava-pistachio-plate.webp	4.99 USD	Al-Baghdady	new	no
bev-raisin-juice	Raisin Juice	Naturally sweet juice made from soaked raisins. Light, refreshing, and full of flavor.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/gallery/baklava-pistachio-plate.webp	4.99 USD	Al-Baghdady	new	no
bev-dried-lime-juice	Dried Lime Juice (Loomi)	A uniquely Iraqi drink made from dried black limes. Tart, earthy, and unlike anything else.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/gallery/baklava-pistachio-plate.webp	4.99 USD	Al-Baghdady	new	no
ice-small-cone	Small Cone	A single scoop of creamy ice cream in a classic crispy cone.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/hero.webp	1.50 USD	Al-Baghdady	new	no
ice-large-cone	Large Cone	A generous scoop of creamy ice cream in a large crispy cone.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/hero.webp	2.99 USD	Al-Baghdady	new	no
ice-cup	Ice Cream Cup	Creamy ice cream served in a cup — no cone, just the good stuff.	in_stock	https://al-baghdady.com/menu/	https://al-baghdady.com/Images/hero.webp	3.00 USD	Al-Baghdady	new	no
